GaugeID,Warning Level,Danger Level,Station,Latitude,Longitude,River Name/ Tributory/ SubTributory,Basin,State,Start_date,End_date,Level_Entries,Streamflow_Entries,Privacy,Source Catchment Area,Catchment Area,Area variation (%),Reliability
INDOFLOODS-gauge-394,259.2,262,Biligundulu,12.18,77.73,Cauvery,Cauvery,Karnataka,30-08-1971,27-05-2020,17715,17273,Open,36682,36889.80078,0.566492503,Safe
INDOFLOODS-gauge-118,66.75,67.75,Jainagar,26.5833,86.1481,Ganga/Kosi/ Kamla-Balan,Ganga - Brahmaputra - Meghna/Barak,Bihar,01-07-1970,31-12-2010,14134,13725,Restricted,2131,2118.569336,0.583325387,Safe
INDOFLOODS-gauge-119,49,50,Jhanjharpur,26.2333,86.2594,Ganga/Kosi/ Kamla-Balan,Ganga - Brahmaputra - Meghna/Barak,Bihar,01-01-1970,31-12-2010,14939,14616,Restricted,2945,3504.423584,18.99570744,Safe
INDOFLOODS-gauge-121,70,71,DHENG BRIDGE,26.7228,85.3231,Ganga/Kosi/ Bagmati,Ganga - Brahmaputra - Meghna/Barak,Bihar,01-07-1970,31-12-2010,14762,14750,Restricted,3790,3580.846924,5.518550818,Safe
INDOFLOODS-gauge-560,218,220.98,Burhanpur,21.2994,76.235,Tapi,Tapi,Madhya Pradesh,14-09-1972,20-08-2019,16611,16249,Open,8487,8926.981445,5.184181042,Safe
INDOFLOODS-gauge-571,226.73,227.73,Pauni,20.7947,79.6478,Godavari/Pranhita/ Wainganga,Godavari,Maharashtra,21-09-1964,27-05-2020,15744,15032,Open,35520,35499.88672,0.056625225,Safe
INDOFLOODS-gauge-361,582.25,582.5,T.k.halli,12.4167,77.1925,Cauvery/Shimsha,Cauvery,Karnataka,12-06-1978,27-05-2020,14021,14063,Open,7890,8031.312988,1.791039138,Safe
INDOFLOODS-gauge-964,198.33,199.33,garhmukteshwar,28.7667,78.1417,Ganga,Ganga - Brahmaputra - Meghna,Uttar Pradesh,01-04-1967,30-12-2011,16345,16345,Restricted,29709,28710.80859,3.359895688,Safe
INDOFLOODS-gauge-120,34.65,35.65,Dhengraghat,25.8478,87.8031,Ganga/Mahananda,Ganga - Brahmaputra - Meghna/Barak,Bihar,01-04-1985,31-12-2010,9405,9375,Restricted,10160,7669.711426,24.51071431,Safe
INDOFLOODS-gauge-364,7,9,Bantwal,12.8844,75.0431,Nethravathi,West flowing rivers from Tadri to Kanyakumari,Karnataka,01-11-1970,27-05-2020,17567,17159,Open,3184,3250.029541,2.073792117,Safe
INDOFLOODS-gauge-955,189.6,190.6,moradabad,28.8267,78.7981,Ganga/Ramganga,Ganga - Brahmaputra - Meghna,Uttar Pradesh,22-05-1968,31-12-2011,15855,15844,Restricted,6807,6854.594727,0.699202688,Safe
INDOFLOODS-gauge-349,14,17,Santeguli,14.4344,74.5861,Aghanashini,West flowing rivers from Tadri to Kanyakumari,Karnataka,01-06-1988,27-05-2020,11364,11228,Open,1090,1027.7146,5.714256881,Safe
INDOFLOODS-gauge-117,61.22,62.22,Dumariaghat,26.3792,84.7317,Ganga/Gandak,Ganga - Brahmaputra - Meghna/Barak,Bihar,01-01-1977,31-12-2010,12418,12356,Restricted,41520,40759.60156,1.831402794,Safe
INDOFLOODS-gauge-960,136.6,137.6,fatehgarh,27.4042,79.625,Ganga,Ganga - Brahmaputra - Meghna,Uttar Pradesh,14-11-1971,31-12-2011,14657,14658,Restricted,40096,38909.0625,2.960239176,Safe
INDOFLOODS-gauge-429,9,10,Thumpamon,9.22,76.71,Pamba/Achankovil,West Flowing Rivers From Tadri to Kanyakumari,Kerala,21-12-1977,27-05-2020,15052,14757,Open,810,813.0768433,0.379857198,Safe
INDOFLOODS-gauge-957,112,113,kanpur,26.4694,80.3764,Ganga,Ganga - Brahmaputra - Meghna,Uttar Pradesh,01-05-1959,31-12-2011,19206,19207,Restricted,87650,85868.82031,2.032150245,Safe
